id,ean,productId,updated_at,baseProductId,sku
sku:0874304411,4016711018766,56cdbf05-ce59-43c9-be15-6cc63c6dae93,2025-12-21T17:13:25.675Z,464035688,SKU-0874304411
sku:0922374624,195166279855,2074133001002,2025-12-21T17:48:47.255Z,465111103,SKU-0922374624
sku:0963183292,4010886516256,4010886516256,2025-12-21T17:46:52.309Z,465108003,SKU-0963183292
sku:0974179694,2230510001022,SKU-0974179694,2025-12-21T17:19:42.900Z,462089960,SKU-0974179694
sku:0982370040,8712024095246,SKU-0982370040,2025-12-23T08:11:41.607Z,458469209,SKU-0982370040
sku:1031821522,5060941713129,5060941713129,2025-12-21T19:43:29.374Z,465275945,SKU-1031821522
sku:1040274599,9783417288889,9783417288889,2025-12-15T00:03:12.120Z,458473855,SKU-1040274599
sku:10486,4066755796946,4066755796946,2025-12-11T00:49:59.264Z,452383877,10486
sku:1066852367,3800235261590,SKU-1066852367,2025-12-17T11:26:20.581Z,458467745,SKU-1066852367
sku:1153910217,042406071826,SKU-1153910217,2025-12-21T17:21:46.469Z,462090779,SKU-1153910217
sku:1181918814,4250278616342,SKU-1181918814,2025-12-21T17:25:46.635Z,462091600,SKU-1181918814
sku:1203a481-100,4550457733144,4550457733144,2025-12-10T09:23:49.456Z,452383926,1203A481-100
sku:1483282001,4260590714022,SKU-1483282001,2025-12-21T17:27:07.964Z,465027644,SKU-1483282001
sku:1612836881,4013288220592,SKU-1612836881,2025-12-21T17:28:25.621Z,462092417,SKU-1612836881
sku:1703368789,7611916163227,7611916163227,2025-12-21T19:44:34.464Z,465277232,SKU-1703368789
sku:1782951292,4064666043425,SKU-1782951292,2025-12-22T09:36:24.328Z,462106849,SKU-1782951292
sku:1784585629,4250454729170,4250454729170,2025-12-21T19:42:25.193Z,465274659,SKU-1784585629
sku:1825816304,4009839270970,SKU-1825816304,2025-12-21T17:39:26.123Z,462110860,SKU-1825816304
sku:1844691476,085854258548,0060cdec-9193-411b-af64-4754ca0226bd,2025-12-21T17:48:46.546Z,465111088,SKU-1844691476
sku:1848228084,,a7fbf83a-10da-453f-974b-4d71c9e7e626,2025-12-21T18:56:38.294Z,465217812,SKU-1848228084
sku:1890172110,0810123671069,0810123671069,2025-12-21T17:48:46.980Z,465111098,SKU-1890172110
sku:1961998362,4049011166479,SKU-1961998362,2025-12-21T17:39:26.435Z,465038138,SKU-1961998362
sku:2019125675,4065464002256,SKU-2019125675,2025-12-21T17:41:08.070Z,462106216,SKU-2019125675
