category_id,breadcrumb
6552566,Computer > Notebooks & Netbooks > Apple Notebooks
6552567,Computer > Notebooks & Netbooks > PC Notebooks & Netbooks
6552568,Computer > Notebooks & Netbooks > Sonstige
6551212,Computer > Software
6552569,Computer > Software > Antivirus & Sicherheit
6552570,Computer > Software > Betriebssysteme
6552571,"Computer > Software > Bild, Video & Audio"
6552572,"Computer > Software > Bildung, Sprachen & Wissen"
6552573,Computer > Software > Büro & Business
6552574,"Computer > Software > Finanzen, Steuer & Recht"
6552575,Computer > Software > Hilfsprogramme/Tools & Treiber
6552576,Computer > Software > Hobbys & Freizeit
6552577,"Computer > Software > Server, Entwicklung & DBMS"
6552578,Computer > Software > Sonstige
6552579,Computer > Software > Web & Desktop Publishing
6551213,Computer > Sonstige
6552580,Computer > Sonstige > Sonstige
6551214,Computer > Stromschutz & Stromverteilung
6552581,Computer > Stromschutz & Stromverteilung > Leistungsverteiler (PDU)
6552582,Computer > Stromschutz & Stromverteilung > Sonstige
6552583,Computer > Stromschutz & Stromverteilung > Überspannschutz & Mehrfachstecker
6552584,Computer > Stromschutz & Stromverteilung > USV-Batterien & -Komponenten
6552585,Computer > Stromschutz & Stromverteilung > USVs
6552587,Computer > Stromschutz & Stromverteilung > Wechselrichter
6551215,Computer > Tablet & eBook-Zubehör
6552588,Computer > Tablet & eBook-Zubehör > 3D-Scanner Teile
6552589,Computer > Tablet & eBook-Zubehör > A/V-Kabel & Adapter
6552590,Computer > Tablet & eBook-Zubehör > Aufkleber & Sticker
6552591,Computer > Tablet & eBook-Zubehör > Bildschirmschutzfolien
6552592,Computer > Tablet & eBook-Zubehör > Ladegeräte & Datenkabel
6552593,Computer > Tablet & eBook-Zubehör > Leselampen
6552594,Computer > Tablet & eBook-Zubehör > Sonstige
6552595,Computer > Tablet & eBook-Zubehör > Speicherkartenadapter
6552596,Computer > Tablet & eBook-Zubehör > Ständer & Halterungen
6552597,Computer > Tablet & eBook-Zubehör > Stifte
6552598,Computer > Tablet & eBook-Zubehör > Taschen & Hüllen
6552599,Computer > Tablet & eBook-Zubehör > Tastaturen
6552600,Computer > Tablet & eBook-Zubehör > Zubehörpakete
6551216,Computer > Tablet- & eBook-Teile
6552601,Computer > Tablet- & eBook-Teile > Sonstige
6551218,Computer > Tablets & eBook-Reader
6552602,Computer > Tablets & eBook-Reader > 3D-Scanner Teile
6551219,Computer > Tablets & Netzwerk
6552603,Computer > Tablets & Netzwerk > Schädlingsbekämpfung
